app_number,anomaly_score
1300100258072,8.339671920588781
1300100258075,5.615117333693604
400100258078,4.177603775962088
1300100258082,3.0526172412773644
1300100258084,2.1105683291778528
400100258083,2.002164663682261
400100258085,19.008713688362576
1300100258088,22.139827973836283
1300100258096,1.3480265277162276
1300100258097,1.5863491839735095
1300100258099,1.5980140398271905
1300100258104,17.50490952602877
1300100258105,1.7709512431778862
1300100258107,3.62868548239104
1300100258112,3.044704607838818
400100258113,22.21116757792107
1300100258118,1.861695218448833
1300100258120,2.06687360699422
1900100258117,3.295031760497992
1300100258121,1.676854953435732
400100258122,0.7552491003301678
1300100258126,17.731452758065053
1300100258127,1.8583016493792743
1300100258129,17.807937688763957
1300100258131,1.6830624829276903
1300100258134,1.5356745735130373
1300100258136,0.9776174339663034
1300100258137,2.7374474894696004
1700100258132,23.688197924042726
1300100258138,0.8831287183491552
1300100258141,0.6688721841018497
400100258140,65.24804756727252
1300100258146,2.918111994802245
1300100258147,1.796704764436233
1300100258150,0.8390345166486313
1300100258151,18.860122435894503
1300100258153,3.5239726878732753
1300100258155,19.126161729688846
1300100258156,18.89393552332871
1300100258158,2.197455985028622
1300100258160,19.712595214087656
1300100258157,17.745976863568035
1700100258159,27.31679770672409
1300100258166,4.673502918006118
1300100258169,0.3375349435076311
1300100258173,25.06369925287023
1700100258172,31.349529824084343
1300100258179,19.47136952760361
1300100258181,19.57718462756259
3100200258176,63.271420653688104
1300100258183,1.2593218079008597
1300100258188,19.819157890209173
1300100258180,18.66922644463681
1300100258192,0.7298298482954789
3100200258190,63.821735813471925
1300100258193,0.7361737986275506
1300100258191,15.79080562220286
1300100258195,1.081498574121932
1300100258196,20.909902548689914
1900100258197,5.443506652567522
1300100258202,1.4162432955070094
1300100258201,17.78095015804342
2200100258199,2.964198134532399
5901000258206,15.344806281209799
1300100258211,2.807869692655942
1300100258215,5.817716617879625
1300100258217,21.188628731069485
1300100258222,5.119092987395605
1300100258224,0.5041365132665533
1300100258227,1.7567717088244277
3100200258229,57.29568587979246
1300100258230,18.124679452528508
1300100258231,18.60024013056048
1300100258232,1.904699472723219
1300100258239,15.772711528332598
1300100258240,5.82986177489749
2200100258250,3.6310517253511128
2000100258252,17.816951755464753
